pair_id,residual_noise_estimate,speech_distortion_estimate,label,snr,stoi,pesq
test_000103,0.052092541,3.626808167,likely over-suppression,-0.107361522,0.110457414,1.018191338
test_000046,0.063262448,3.132529974,likely over-suppression,-0.227508701,0.256348718,1.019925714
test_000116,0.034626052,3.797410965,likely over-suppression,-0.05815916,0.142194929,1.028592229
test_000056,0.061771642,3.665913343,likely over-suppression,-0.098940274,0.202556445,1.028776407
test_000217,0.116714977,2.131175756,likely over-suppression,-0.353389273,0.231329948,1.029625893
test_000044,0.045843404,2.745576382,likely over-suppression,-0.571426688,0.244160605,1.03226769
test_000225,0.057901621,2.430761099,likely over-suppression,-0.780454896,0.26810349,1.034599543
test_000063,0.041327979,3.453310966,likely over-suppression,-0.138026163,0.250740179,1.035314441
test_000118,0.037592549,3.945466042,likely over-suppression,-0.035712948,0.223992452,1.036027431
test_000268,0.120304607,2.334099531,likely over-suppression,-0.478377379,0.330826343,1.03628397
test_000159,0.219189808,2.116701841,likely over-suppression,-0.309536774,0.074556523,1.075820446
test_000122,0.029963035,4.012030125,likely over-suppression,-0.200833138,0.104087129,1.097251058
test_000266,0.055249449,2.224587679,likely over-suppression,-1.622725946,0.125149477,1.072941184
test_000075,0.04609742,3.306882143,likely over-suppression,-0.093030047,0.144730585,1.074379921
test_000274,0.062681288,2.106144428,likely over-suppression,-1.173094572,0.146590957,1.083782434
test_000026,0.049330283,3.185412169,likely over-suppression,-0.118875566,0.15074783,1.11145246
test_000098,0.060161095,2.94731307,likely over-suppression,-1.638860539,0.151006965,1.0507586
test_000017,0.019855237,2.280736685,likely over-suppression,-0.721550477,0.165161943,1.147071958
