breakdown,key,column,n,snr_db,stoi,pesq
category,gunshot,noisy,97,-1.088554247384409,0.5657426385934665,1.2955525425291552
category,gunshot,baseline,97,-0.11915942383909728,0.5614830664534014,1.2971809770643097
category,gunshot,finetuned_v5,97,8.900847067327321,0.6543628639379209,1.8702038772327383
category,stationary,noisy,98,2.0061466641253585,0.6311586134300801,1.3682944446193928
category,stationary,baseline,98,3.221682910752232,0.6255820107075494,1.3089494182139028
category,stationary,finetuned_v5,98,9.42991007980549,0.7017355006192677,1.8328676540024427
category,general,noisy,104,0.4710920306697384,0.596339321014998,1.2604701152214637
category,general,baseline,104,2.364137450313427,0.5877116021491127,1.2705100705990424
category,general,finetuned_v5,104,7.968820731154671,0.667344537448111,1.6642346118505185
category,overall,noisy,299,0.4682481012630442,0.5978256503186418,1.3071917865587317
category,overall,baseline,299,1.839587812621815,0.5916150539091221,1.2917613548578626
category,overall,finetuned_v5,299,8.750069262179847,0.6744050460109368,1.7863251030644445
snr_bucket,-5 to 0 dB,noisy,83,-5.285763217847386,0.5139562488120113,1.137066315455609
snr_bucket,-5 to 0 dB,baseline,83,-3.0187539758915247,0.5078460542258137,1.1325453017131393
snr_bucket,-5 to 0 dB,finetuned_v5,83,6.146787304850967,0.6057521844394395,1.4949113906147968
snr_bucket,0 to 5 dB,noisy,78,-1.1989626534680333,0.5916905481059291,1.2795420120923946
snr_bucket,0 to 5 dB,baseline,78,0.3374833320148207,0.5855914068881128,1.2482794171724565
snr_bucket,0 to 5 dB,finetuned_v5,78,7.82278352749832,0.6729226289025491,1.7449023708319054
snr_bucket,5 to 10 dB,noisy,60,3.4666667762677688,0.6512411535135091,1.3456716100374857
snr_bucket,5 to 10 dB,baseline,60,4.6407607111472,0.6413696970220785,1.3249893506368002
snr_bucket,5 to 10 dB,finetuned_v5,60,10.570738423214522,0.7249876354118047,1.9404719114303588
snr_bucket,10 to 15 dB,noisy,78,5.95184115068492,0.6521175491128709,1.4862726468306322
snr_bucket,10 to 15 dB,baseline,78,6.356717864191426,0.6485047058908647,1.4791055061878302
snr_bucket,10 to 15 dB,finetuned_v5,78,11.046999263479533,0.7100314649960195,2.019267445955521
