category,column,n,snr_db,stoi,pesq
gunshot,onnx,97,8.666013705827622,0.6515709090945548,1.8283143571971618
gunshot,pytorch_cropped,97,8.666016601357052,0.6515709287975328,1.8283141470447029
stationary,onnx,98,8.973748168767287,0.6950282721029002,1.7665134826484992
stationary,pytorch_cropped,98,8.973748823308458,0.6950282576174753,1.766529067438476
general,onnx,104,7.757337794192192,0.6635061709619,1.6629207867842455
general,pytorch_cropped,104,7.7573379345440925,0.6635061684300448,1.66291766671034
overall,onnx,299,8.450815319733985,0.6699658549441259,1.7505303537566526
overall,pytorch_cropped,299,8.450816522436282,0.6699658557076853,1.7505343083952583

metric,onnx,pytorch_cropped,pytorch_v5_full,export_drift(onnx-pytorch_cropped),crop_effect(pytorch_cropped-pytorch_v5_full)
snr,8.450815319733985,8.450816522436282,8.75,-1.2027022968652545e-06,-0.29918347756371766
stoi,0.6699658549441259,0.6699658557076853,0.674,-7.635594378996302e-10,-0.004034144292314745
pesq,1.7505303537566526,1.7505343083952583,1.786,-3.954638605696559e-06,-0.03546569160474178
